Title,Sale Price,Regular Price,Sale Percentage
Warhammer 40|000: Space Marine 2 - Dark Angels Chapter Pack,$7.99,$9.99,20%
Star Trek Online: 1000 Zen,$7.99,$9.99,20%
1000 Neverwinter Zen,$7.99,$9.99,20%
Knack 2,$7.99,$19.99,60%
THE LAST REMNANT Remastered,$7.99,$19.99,60%
FINAL FANTASY TYPE-0™ HD,$7.99,$19.99,60%
Metro Exodus: Gold Edition,$7.99,$39.99,80%
Kingdoms of Amalur: Re-reckoning - Fatesworn,$7.99,$19.99,60%
Mega Man X Legacy Collection 2,$7.99,$19.99,60%
Astria Ascending,$7.99,$39.99,80%
Dragon Age™: Inquisition Deluxe Edition,$7.99,$19.99,60%
50|000 Source Crystals,$7.99,$19.99,60%
Mega Man Legacy Collection 2,$7.99,$19.99,60%
Car Mechanic Simulator - DLC Mega Pack,$7.69,$38.49,80%
DMC5SE - Complete In-game Unlock Bundle,$7.59,$9.99,24%
Devil May Cry 4 Special Edition,$7.49,$24.99,70%
Bratz™: Flaunt Your Fashion,$7.49,$29.99,75%
Resident Evil Revelations 1 & 2 Bundle,$7.49,$29.99,75%
RESIDENT EVIL 7 biohazard Season Pass,$7.49,$29.99,75%
inFAMOUS First Light,$7.49,$14.99,50%
Avatar: Frontiers of Pandora™ – The Sky Breaker,$7.49,$14.99,50%
Saints Row PS4&PS5,$7.49,$29.99,75%
The Dark Pictures Anthology: House of Ashes PS4 & PS5,$7.49,$29.99,75%
Resident Evil 2 Extra DLC Pack,$7.49,$14.99,50%
THE KING OF FIGHTERS XV Standard Edition PS4 & PS5,$7.49,$29.99,75%
Ghostrunner,$7.49,$29.99,75%
The Evil Within Digital Bundle,$7.49,$29.99,75%
NARUTO TO BORUTO: SHINOBI STRIKER Season Pass 4,$7.49,$14.99,50%
Nickelodeon Kart Racers 3: Slime Speedway,$7.49,$49.99,85%
Hatsune Miku: Project DIVA Future Tone Mega Mix Encore Pack,$7.49,$14.99,50%
Warface: Clutch - 12 000 Kredits,$69.99,$99.99,30%
Sniper Elite: Resistance Deluxe Edition PS4™ & PS5™,$67.49,$89.99,25%
The Legend of Heroes: Trails into Reverie Ultimate Edition,$65.99,$109.99,40%
EA SPORTS™ PGA TOUR™,$6.99,$69.99,90%
Tom Clancy's Ghost Recon® Breakpoint Deluxe Edition,$6.99,$69.99,90%
Suicide Squad: Kill the Justice League,$6.99,$69.99,90%
Assassin's Creed Origins - Deluxe Edition,$6.99,$69.99,90%
MudRunner - American Wilds Edition,$6.99,$34.99,80%
Sniper Elite V2 Remastered,$6.99,$34.99,80%
The Sims™ 4 Crystal Creations Stuff Pack,$6.99,$9.99,30%
The Sims™ 4 Paranormal Stuff Pack,$6.99,$9.99,30%
The Sims™ 4 Toddler Stuff,$6.99,$9.99,30%
The Sims™ 4 Spooky Stuff,$6.99,$9.99,30%
The Sims™ 4 Tiny Living Stuff Pack,$6.99,$9.99,30%
The Sims™ 4 Bowling Night Stuff,$6.99,$9.99,30%
Warhammer 40|000: Space Marine 2 - Imperial Fists Champion Pack,$6.39,$7.99,20%
Warhammer 40|000: Space Marine 2 - Salamanders Champion Pack,$6.39,$7.99,20%
STAR OCEAN First Departure R,$6.29,$20.99,70%
Risk of Rain 2,$6.24,$24.99,75%
Blasphemous,$6.24,$24.99,75%
Destiny 2: Year of Prophecy,$59.99,$79.99,25%
FINAL FANTASY VII REMAKE & REBIRTH Twin Pack,$59.99,$99.99,40%
SWORD ART ONLINE Fractured Daydream Premium Edition,$59.99,$99.99,40%
SnowRunner - Year 1 Pass + Year 2 Pass + Year 3 Pass + Year 4 Pass,$59.99,$79.99,25%
Star Wars Outlaws Ultimate Edition,$58.49,$129.99,55%
FINAL FANTASY VII REBIRTH Digital Deluxe Edition,$53.99,$89.99,40%
Batman: Arkham Collection,$5.99,$59.99,90%
THE FOREST,$5.99,$19.99,70%
Mafia: Definitive Edition,$5.99,$39.99,85%
Mass Effect™ Legendary Edition,$5.99,$59.99,90%
